pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,804.5638
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,813.6922
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,836.20905
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,842.3785
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,840.00946
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,835.0319
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,822.77325
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,822.93805
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,831.69403
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,839.74786
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,842.4753
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,839.76105
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,834.54486
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,821.8548
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,822.6237
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,830.70074
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,839.28986
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,842.08905
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,839.01263
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,834.27594
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,821.2918
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,821.5097
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,830.55096
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,838.408
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,841.43756
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,838.79596
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,834.3764
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,820.85675
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,822.88727
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,832.1423
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,837.71466
